modelo,recall_mean,recall_std,vs_random,score,n_folds,weight
LightGBM depth=3 trees=100,1.4,0.28284271247461906,1.3439999999999999,0.9359805519534062,2.0,0.22272169192935334
LightGBM depth=4 trees=100,1.4,0.28284271247461906,1.3439999999999999,0.9359805519534062,2.0,0.22272169192935334
BetaBinomial decay=0.80,1.25,0.21213203435596414,1.2,0.6674525854521682,2.0,0.1588239935159768
BetaBinomial decay=0.90,1.1,0.0,1.056,0.5833333333333335,2.0,0.13880735736190492
BetaBinomial decay=0.99,1.2,0.4242640687119285,1.152,0.3020106522316979,2.0,0.07186508662530389
Frecuencia,1.15,0.3535533905932737,1.1039999999999999,0.23885464331250394,2.0,0.0568367688545641
BetaBinomial decay=1.0,1.15,0.3535533905932737,1.1039999999999999,0.23885464331250394,2.0,0.0568367688545641
BetaBinomial decay=0.95,1.0,0.14142135623730953,0.96,0.0,2.0,0.023795546976326555
XGBoost depth=3 trees=100,1.0,0.0,0.96,0.0,2.0,0.023795546976326555
XGBoost depth=4 trees=100,1.0,0.0,0.96,0.0,2.0,0.023795546976326555
