fecha,dia_semana,n1,n2,n3,n4,n5,bolilla_extra,fuente
2025-04-09,miercoles,16,21,31,33,35,23,stats247
2025-04-13,domingo,4,7,8,42,47,28,stats247
2025-04-16,miercoles,24,27,34,41,44,25,stats247
2025-04-21,lunes,5,6,34,44,48,40,stats247
2025-04-30,miercoles,18,33,36,37,46,28,stats247
2025-05-04,domingo,4,7,25,45,47,20,stats247
2025-05-07,miercoles,1,16,18,19,36,2,stats247
2025-05-12,lunes,4,8,26,42,48,5,stats247
2025-05-15,jueves,10,21,25,37,42,19,stats247
2025-05-19,lunes,4,11,22,27,34,31,stats247
2025-05-22,jueves,10,17,22,24,31,39,stats247
2025-05-25,domingo,1,2,4,8,19,14,stats247
2025-05-28,miercoles,2,16,17,42,43,10,stats247
2025-06-01,domingo,4,18,35,40,45,8,stats247
2025-06-04,miercoles,7,21,28,35,40,30,stats247
2025-06-08,domingo,8,14,17,23,41,16,stats247
2025-06-11,miercoles,5,6,12,34,36,48,stats247
2025-06-15,domingo,10,26,32,33,42,44,stats247
2025-06-18,miercoles,4,17,21,28,31,9,stats247
2025-06-22,domingo,17,24,31,37,38,46,stats247
2025-06-25,miercoles,1,26,30,40,48,42,stats247
2025-06-29,domingo,1,4,5,20,24,2,stats247
2025-07-02,miercoles,3,13,29,36,41,18,stats247
2025-07-06,domingo,20,23,24,39,42,30,stats247
2025-07-09,miercoles,22,25,28,34,35,48,stats247
2025-07-13,domingo,12,13,23,29,32,46,stats247
2025-07-16,miercoles,3,7,12,13,29,27,stats247
2025-07-20,domingo,13,30,31,45,46,17,stats247
2025-07-23,miercoles,1,14,27,40,46,25,stats247
2025-07-27,domingo,7,25,39,40,46,9,stats247
2025-07-30,miercoles,14,16,24,33,36,47,stats247
2025-08-03,domingo,24,25,27,28,40,26,stats247
2025-08-06,miercoles,1,6,11,41,42,47,stats247
2025-08-10,domingo,2,12,20,28,32,44,stats247
2025-08-13,miercoles,10,20,35,37,47,44,stats247
2025-08-17,domingo,22,31,33,39,42,32,stats247
2025-08-20,miercoles,1,4,19,20,38,8,stats247
2025-08-24,domingo,10,16,25,44,46,14,stats247
2025-08-28,jueves,6,22,27,33,47,10,stats247
2025-08-31,domingo,1,20,22,33,36,14,stats247
2025-09-03,miercoles,3,14,29,31,47,32,stats247
2025-09-07,domingo,2,7,23,36,48,28,stats247
2025-09-10,miercoles,8,18,24,26,42,27,stats247
2025-09-14,domingo,3,5,20,33,37,4,stats247
2025-09-17,miercoles,6,10,16,30,45,14,stats247
2025-09-21,domingo,8,32,45,47,48,22,stats247
2025-09-28,domingo,4,19,22,26,37,46,stats247
2025-10-01,miercoles,11,25,29,32,36,8,stats247
2025-10-05,domingo,10,11,17,18,25,24,stats247
2025-10-08,miercoles,3,11,12,14,15,10,stats247
2025-10-13,lunes,11,30,31,37,46,9,stats247
2025-10-19,domingo,9,19,25,31,43,30,stats247
2025-10-22,miercoles,9,14,18,39,41,11,stats247
2025-10-26,domingo,9,16,26,34,46,32,stats247
2025-10-29,miercoles,4,27,31,32,42,24,stats247
2025-11-03,lunes,2,16,25,29,46,14,stats247
