lag,acf,lower,upper
0,1.0,0.0,0.0
1,-0.0285308382632959,-0.06335663780137314,0.06335663780137314
2,-0.04137069165083709,-0.06340818968446527,0.06340818968446528
3,-0.005225833437800442,-0.0635164461583455,0.0635164461583455
4,-0.004601680155088913,-0.06351817200927266,0.06351817200927266
5,0.05028628421442917,-0.06351951018927951,0.06351951018927951
6,-0.04350823288676585,-0.06367910947111417,0.06367910947111417
7,-0.071412006958255,-0.0637983225275715,0.06379832252757149
8,0.01922608142974186,-0.06411838109568457,0.06411838109568457
9,-0.027242726463517452,-0.06414151798137065,0.06414151798137065
10,0.03781773381885884,-0.06418794694568747,0.06418794694568747
11,0.0036151780146425525,-0.06427732265648356,0.06427732265648356
12,-0.01546073932588242,-0.06427813883109777,0.06427813883109777
13,0.08048885604804128,-0.06429306440528207,0.06429306440528205
14,0.012131973529900876,-0.06469627499654594,0.06469627499654594
15,-0.011455782288201571,-0.06470540639362866,0.06470540639362866
16,-0.014858305687309855,-0.06471354717064068,0.06471354717064068
17,-0.017765377012619744,-0.06472723963672616,0.06472723963672615
18,-0.024319553674345865,-0.06474680916547786,0.06474680916547786
19,-0.05770274833178915,-0.0647834659319317,0.0647834659319317
20,0.0020964769490859187,-0.06498944504833883,0.06498944504833883
