feature,importance
freq_100_5,0.0066139954
freq_100_40,0.00661177
ciclo_39,0.006207108
ciclo_22,0.0061934055
freq_hist_40,0.0061883256
ausencia_21,0.006069455
ausencia_38,0.0059896656
ausencia_30,0.005972244
freq_hist_43,0.0059381737
ausencia_42,0.0059339297
freq_hist_39,0.0058915797
freq_hist_38,0.0058890465
ciclo_21,0.0058382894
ciclo_37,0.0058300514
ausencia_34,0.0058257007
ausencia_32,0.0057955943
freq_hist_7,0.0057692584
ausencia_4,0.005763827
freq_hist_15,0.005740404
ciclo_28,0.0057317037
ausencia_25,0.005729642
freq_hist_32,0.005713301
ausencia_20,0.005708352
ausencia_3,0.0056738486
ausencia_23,0.0056729857
freq_100_10,0.0056724404
ausencia_39,0.005657149
ausencia_36,0.00565627
ausencia_11,0.005648859
ausencia_40,0.005641119
ciclo_24,0.005624045
ciclo_17,0.005611079
ausencia_31,0.005601739
ausencia_19,0.005596148
mes,0.005579034
freq_hist_31,0.0055766185
freq_hist_14,0.005556584
freq_hist_18,0.0055536795
freq_hist_9,0.005547481
freq_hist_17,0.005543887
ausencia_41,0.005540022
ausencia_37,0.005538073
freq_hist_28,0.0055374703
freq_100_11,0.005532256
ciclo_11,0.0055246293
freq_hist_25,0.0055229696
freq_100_17,0.005521726
ausencia_43,0.0055155125
freq_hist_19,0.005512506
ausencia_10,0.005507041
ausencia_35,0.0055034016
ausencia_5,0.0055028144
freq_hist_6,0.0054862383
freq_hist_4,0.0054777083
ausencia_1,0.0054750885
ciclo_7,0.005473687
freq_hist_33,0.0054625715
freq_hist_30,0.0054515875
ausencia_8,0.005450053
freq_100_20,0.0054498594
rango_prev,0.005443116
freq_hist_29,0.0054395436
ausencia_13,0.005409866
ciclo_4,0.005409219
ciclo_5,0.005395921
ausencia_28,0.0053880173
ausencia_18,0.00538221
freq_hist_12,0.005380212
suma_prev,0.0053787217
freq_hist_26,0.005375045
freq_hist_36,0.0053737722
ciclo_29,0.005361697
ausencia_26,0.0053510047
freq_100_14,0.0053496794
freq_hist_3,0.0053356844
freq_100_38,0.0053329417
freq_hist_37,0.005326376
ausencia_14,0.0053127054
ausencia_29,0.0053042374
freq_100_7,0.005303208
ausencia_16,0.0053028134
freq_hist_41,0.0052918545
ausencia_33,0.0052897693
ciclo_33,0.0052761137
freq_100_31,0.0052735596
ausencia_17,0.0052711447
freq_hist_8,0.0052684546
ausencia_27,0.0052675754
freq_100_8,0.005263722
freq_hist_42,0.0052515008
freq_100_26,0.0052487287
freq_100_30,0.005231553
ausencia_7,0.0052297995
ausencia_44,0.005219936
paridad_prev,0.0051982934
ciclo_9,0.0051786816
ausencia_24,0.0051644044
freq_hist_34,0.0051640538
freq_hist_5,0.0051520886
ausencia_2,0.005128886
freq_hist_13,0.005117335
freq_hist_22,0.005116705
freq_hist_11,0.0051060477
freq_100_29,0.0050941473
ausencia_9,0.00509365
ciclo_26,0.0050878474
ciclo_18,0.0050867493
ausencia_22,0.005081367
ausencia_15,0.0050801863
ausencia_12,0.005065104
freq_hist_44,0.005064291
freq_hist_21,0.0050625787
ciclo_27,0.005061374
freq_hist_10,0.0050419024
ciclo_20,0.005033622
ciclo_14,0.005030433
freq_100_27,0.005028854
freq_100_19,0.0050258734
ciclo_8,0.0050080265
ciclo_32,0.004995332
freq_hist_35,0.004992373
freq_hist_23,0.0049629817
freq_100_6,0.004958253
freq_100_37,0.004948754
ciclo_10,0.0049382076
freq_100_18,0.004934288
freq_100_22,0.00493295
freq_hist_1,0.0049325745
freq_hist_2,0.0049295365
freq_hist_24,0.0049247537
ciclo_1,0.0049153226
ciclo_3,0.0049093803
freq_hist_27,0.004847884
freq_hist_20,0.0048425337
ciclo_12,0.0048102643
freq_100_32,0.004808659
freq_100_13,0.0047905124
freq_100_15,0.004783365
ausencia_6,0.004774023
freq_100_2,0.0046960106
freq_100_39,0.0046901912
freq_100_23,0.00462407
ciclo_6,0.004623756
freq_100_12,0.00462367
ciclo_15,0.004617988
ciclo_38,0.0046110204
freq_100_34,0.0045758067
ciclo_23,0.0045451536
freq_100_33,0.0045404183
ciclo_19,0.004531692
freq_hist_16,0.004524404
ciclo_25,0.004523198
freq_100_9,0.004512651
ciclo_31,0.004496191
freq_100_42,0.004482241
ciclo_13,0.004466728
freq_100_21,0.004427592
ciclo_2,0.004406965
freq_100_25,0.0043999767
ciclo_44,0.0043155504
freq_100_1,0.00431338
ciclo_36,0.004306509
ciclo_34,0.0043048942
ciclo_16,0.0043001845
freq_100_35,0.0042508678
ciclo_30,0.0041034482
freq_100_4,0.004016777
freq_100_28,0.0039963303
freq_100_36,0.0039179805
freq_100_3,0.00391158
freq_100_24,0.0038273318
ciclo_35,0.0037297893
ciclo_40,0.003662181
ciclo_42,0.0034751904
ciclo_41,0.0034526065
freq_100_16,0.0033438848
freq_100_41,0.0033054848
ciclo_43,0.001998948
freq_100_43,0.0017327793
freq_100_44,0.0015800971
ausencia_45,0.0011955897
ciclo_45,0.00011840416
freq_hist_45,0.0
freq_100_45,0.0
freq_hist_46,0.0
freq_100_46,0.0
ausencia_46,0.0
ciclo_46,0.0
freq_hist_47,0.0
freq_100_47,0.0
ausencia_47,0.0
ciclo_47,0.0
freq_hist_48,0.0
freq_100_48,0.0
ausencia_48,0.0
ciclo_48,0.0
sorteo_num,0.0
