numero,freq_hist,freq_rel,freq_100,esperado,desviacion
1,159,0.03322884012539185,17,99.6875,59.49843260188088
2,103,0.021525600835945662,11,99.6875,3.3228840125391854
3,122,0.02549634273772205,17,99.6875,22.382445141065833
4,107,0.022361546499477535,11,99.6875,7.3354231974921635
5,129,0.026959247648902823,13,99.6875,29.404388714733543
6,134,0.02800417972831766,19,99.6875,34.42006269592476
7,124,0.025914315569487985,12,99.6875,24.38871473354232
8,128,0.026750261233019854,16,99.6875,28.4012539184953
9,124,0.025914315569487985,11,99.6875,24.38871473354232
10,143,0.029885057471264367,20,99.6875,43.44827586206896
11,148,0.030929989550679205,12,99.6875,48.46394984326019
12,131,0.027377220480668756,9,99.6875,31.41065830721003
13,140,0.029258098223615466,19,99.6875,40.43887147335423
14,113,0.02361546499477534,12,99.6875,13.35423197492163
15,128,0.026750261233019854,16,99.6875,28.4012539184953
16,136,0.028422152560083593,13,99.6875,36.426332288401255
17,126,0.026332288401253918,14,99.6875,26.39498432601881
18,136,0.028422152560083593,14,99.6875,36.426332288401255
19,121,0.02528735632183908,14,99.6875,21.379310344827587
20,118,0.02466039707419018,8,99.6875,18.369905956112852
21,127,0.026541274817136886,17,99.6875,27.398119122257054
22,130,0.027168234064785787,8,99.6875,30.407523510971785
23,120,0.025078369905956112,11,99.6875,20.37617554858934
24,132,0.027586206896551724,9,99.6875,32.41379310344827
25,102,0.021316614420062698,11,99.6875,2.3197492163009406
26,119,0.024869383490073144,8,99.6875,19.3730407523511
27,118,0.02466039707419018,11,99.6875,18.369905956112852
28,107,0.022361546499477535,12,99.6875,7.3354231974921635
29,125,0.02612330198537095,16,99.6875,25.391849529780565
30,116,0.024242424242424242,11,99.6875,16.363636363636363
31,108,0.0225705329153605,9,99.6875,8.338557993730406
32,118,0.02466039707419018,11,99.6875,18.369905956112852
33,97,0.020271682340647856,10,99.6875,-2.6959247648902824
34,94,0.019644723092998955,10,99.6875,-5.705329153605016
35,88,0.01839080459770115,9,99.6875,-11.724137931034482
36,76,0.015882967607105537,8,99.6875,-23.761755485893417
37,90,0.018808777429467086,7,99.6875,-9.717868338557993
38,77,0.016091954022988506,8,99.6875,-22.758620689655174
39,78,0.016300940438871474,6,99.6875,-21.755485893416928
40,64,0.013375130616509927,9,99.6875,-35.79937304075235
41,46,0.00961337513061651,5,99.6875,-53.855799373040746
42,51,0.010658307210031349,10,99.6875,-48.84012539184953
43,18,0.003761755485893417,3,99.6875,-81.9435736677116
44,14,0.0029258098223615466,3,99.6875,-85.95611285266457
45,0,0.0,0,99.6875,-100.0
46,0,0.0,0,99.6875,-100.0
47,0,0.0,0,99.6875,-100.0
48,0,0.0,0,99.6875,-100.0
