top10_5of5,top12_5of5,top15_5of5,top20_5of5,top25_5of5,top30_5of5,top40_5of5,top45_5of5,top10_3plus,top12_3plus,top15_3plus,top20_3plus,top25_3plus,top30_3plus,top40_3plus,top45_3plus,config
0,0,0,0,1,4,21,36,3,4,10,22,30,36,49,50,"PB(w50,d0.85,nl3,pw0.2)"
0,0,0,0,1,3,21,36,3,6,13,24,30,37,49,50,"PB(w50,d0.85,nl3,pw0.3)"
0,0,0,0,0,3,22,35,5,8,11,21,29,37,48,50,"PB(w50,d0.85,nl3,pw0.4)"
0,0,0,0,2,4,21,37,3,4,12,21,32,38,49,50,"PB(w50,d0.85,nl5,pw0.2)"
0,0,0,0,2,3,23,38,3,7,12,22,31,37,49,50,"PB(w50,d0.85,nl5,pw0.3)"
0,0,0,0,2,3,23,38,3,6,10,19,30,36,47,50,"PB(w50,d0.85,nl5,pw0.4)"
0,0,0,0,2,6,20,36,3,5,11,20,31,37,49,50,"PB(w50,d0.85,nl7,pw0.2)"
0,0,0,0,1,5,22,37,2,5,14,22,31,36,49,50,"PB(w50,d0.85,nl7,pw0.3)"
0,0,0,0,1,4,22,37,4,7,13,22,31,36,49,50,"PB(w50,d0.85,nl7,pw0.4)"
0,0,0,0,0,4,20,36,5,7,12,21,26,36,49,50,"PB(w50,d0.92,nl3,pw0.2)"
0,0,0,0,0,4,22,37,5,8,12,20,28,35,47,50,"PB(w50,d0.92,nl3,pw0.3)"
0,0,0,0,0,5,25,37,4,8,11,21,29,36,47,50,"PB(w50,d0.92,nl3,pw0.4)"
0,0,0,0,0,5,21,35,5,7,11,20,29,36,49,50,"PB(w50,d0.92,nl5,pw0.2)"
0,0,0,0,0,5,24,36,6,7,12,20,28,35,49,50,"PB(w50,d0.92,nl5,pw0.3)"
0,0,0,0,0,6,23,37,4,7,12,20,25,32,48,50,"PB(w50,d0.92,nl5,pw0.4)"
0,0,0,0,0,5,20,36,5,7,11,21,28,37,49,50,"PB(w50,d0.92,nl7,pw0.2)"
0,0,0,0,0,4,22,36,6,7,12,21,28,37,49,50,"PB(w50,d0.92,nl7,pw0.3)"
0,0,0,0,0,3,23,37,4,7,13,22,29,35,48,50,"PB(w50,d0.92,nl7,pw0.4)"
0,0,0,0,0,2,25,39,6,7,13,23,25,34,48,50,"PB(w50,d0.95,nl3,pw0.2)"
0,0,0,0,0,3,26,38,5,6,9,21,25,33,47,50,"PB(w50,d0.95,nl3,pw0.3)"
0,0,0,0,0,4,28,38,5,7,9,19,27,33,47,50,"PB(w50,d0.95,nl3,pw0.4)"
0,0,0,0,0,4,23,35,5,7,12,21,27,35,47,50,"PB(w50,d0.95,nl5,pw0.2)"
0,0,0,0,0,5,24,37,4,5,10,22,27,35,48,50,"PB(w50,d0.95,nl5,pw0.3)"
0,0,0,0,0,3,24,38,3,5,9,20,28,35,48,50,"PB(w50,d0.95,nl5,pw0.4)"
0,0,0,0,1,3,23,35,3,7,13,22,27,36,47,50,"PB(w50,d0.95,nl7,pw0.2)"
0,0,0,0,0,3,23,36,3,6,12,21,28,37,47,50,"PB(w50,d0.95,nl7,pw0.3)"
