top5_avg,top10_avg,top15_avg,n_3plus_top10,n_3plus_top15,n_2plus_top10,n_zero_top10,config,time_s
0.6,1.26,1.7,7,11,17,11,BB3(0.99_0.95_0.7)_w0.7_0.2,0.1
0.6,1.18,1.72,6,13,17,14,BB(1.0_0.85)_w0.7,0.1
0.58,1.22,1.68,6,13,17,12,BB3(0.99_0.95_0.85)_w0.7_0.2,0.1
0.6,1.16,1.72,6,13,16,14,Freq+BB(0.85)_wf0.7,0.1
0.56,1.26,1.78,6,14,19,12,Freq+BB(0.95)_wf0.5,0.1
0.6,1.14,1.62,6,9,15,14,BB(1.0_0.7)_w0.8,0.1
0.7,1.18,1.64,5,11,14,11,BB(d=0.93),0.1
0.72,1.24,1.74,5,13,17,11,BB(0.95_0.85)_w0.7,0.1
0.6,1.2,1.78,5,14,17,12,BB3(0.99_0.95_0.85)_w0.6_0.25,0.1
0.66,1.22,1.7,5,12,17,12,BB(1.0_0.85)_w0.6,0.1
0.66,1.26,1.76,5,12,17,10,BB3(0.95_0.85_0.65)_w0.7_0.2,0.1
0.66,1.26,1.76,5,15,19,11,BB(0.99_0.7)_w0.7,0.1
0.62,1.2,1.74,5,14,18,14,BB(0.99_0.7)_w0.8,0.1
0.68,1.28,1.74,5,12,18,10,BB(0.95_0.85)_w0.6,0.1
0.72,1.2,1.72,5,11,16,12,BB(0.95_0.85)_w0.8,0.1
0.56,1.18,1.84,5,14,17,13,BB3(1.0_0.95_0.85)_w0.6_0.25,0.1
0.66,1.24,1.78,5,13,16,10,BB3(0.97_0.85_0.7)_w0.6_0.25,0.1
0.62,1.22,1.74,5,10,17,11,BB(1.0_0.7)_w0.6,0.1
0.7,1.2,1.76,5,12,17,12,BB(0.97_0.55)_w0.7,0.1
0.7,1.2,1.8,5,14,16,12,BB3(0.99_0.95_0.85)_w0.5_0.3,0.1
0.64,1.22,1.76,5,15,17,12,BB3(0.99_0.9_0.7)_w0.7_0.2,0.1
0.62,1.26,1.78,5,12,17,10,BB3(0.95_0.85_0.65)_w0.6_0.25,0.1
0.64,1.22,1.7,5,12,17,12,BB3(0.99_0.95_0.7)_w0.6_0.25,0.1
0.64,1.24,1.76,5,14,18,11,BB3(0.99_0.8_0.5)_w0.7_0.2,0.1
0.58,1.04,1.56,5,9,13,16,BB(d=0.99),0.1
