top5_5of5,top10_5of5,top12_5of5,top15_5of5,top18_5of5,top20_5of5,top25_5of5,top30_5of5,top35_5of5,top40_5of5,top45_5of5,top5_avg_hits,top5_4plus,top5_3plus,top10_avg_hits,top10_4plus,top10_3plus,top12_avg_hits,top12_4plus,top12_3plus,top15_avg_hits,top15_4plus,top15_3plus,top18_avg_hits,top18_4plus,top18_3plus,top20_avg_hits,top20_4plus,top20_3plus,top25_avg_hits,top25_4plus,top25_3plus,top30_avg_hits,top30_4plus,top30_3plus,top35_avg_hits,top35_4plus,top35_3plus,top40_avg_hits,top40_4plus,top40_3plus,top45_avg_hits,top45_4plus,top45_3plus,config,time_s,min_k_for_35_50
0,0,0,0,0,0,2,7,9,24,36,0.6,0,1,1.26,0,7,1.44,1,10,1.7,2,11,2.0,4,15,2.2,4,22,2.64,13,28,3.18,23,36,3.66,33,43,4.32,44,48,4.7,49,50,BB3_winner,1.3,45.0
0,0,0,0,0,0,3,6,11,23,36,0.66,0,1,1.26,0,5,1.4,1,7,1.76,1,15,2.08,5,18,2.3,8,23,2.8,16,29,3.2,22,37,3.68,30,44,4.24,43,46,4.7,49,50,"BB(0.99,0.7)_w0.7",1.3,45.0
0,0,0,0,0,0,1,2,6,14,32,0.54,0,0,1.04,0,4,1.2,0,5,1.52,0,7,1.8,0,12,2.04,2,16,2.48,4,26,2.96,15,33,3.5,25,44,4.08,41,49,4.62,49,50,Freq_only,1.0,
0,0,0,0,0,0,2,5,11,22,36,0.64,0,0,1.12,0,3,1.44,0,5,1.72,1,10,2.16,4,20,2.32,8,23,2.76,15,31,3.16,22,35,3.74,33,44,4.26,43,48,4.72,50,50,"BB(0.99,0.7)_w0.3",1.2,45.0
0,0,0,0,0,0,2,5,10,24,36,0.58,0,0,1.2,0,4,1.42,1,5,1.76,1,11,2.12,5,18,2.38,8,26,2.76,16,31,3.16,22,35,3.68,32,43,4.3,44,47,4.7,49,50,"BB(0.99,0.7)_w0.5",1.1,45.0
0,0,0,0,0,0,3,6,11,23,36,0.66,0,1,1.26,0,5,1.4,1,7,1.76,1,15,2.08,5,18,2.3,8,23,2.8,16,29,3.2,22,37,3.68,30,44,4.24,43,46,4.7,49,50,"BB(0.99,0.7)_w0.7",1.1,45.0
0,0,0,0,0,0,2,2,11,22,35,0.64,0,1,1.26,1,3,1.42,1,3,1.76,2,11,2.08,3,19,2.36,10,22,2.8,18,31,3.16,24,38,3.66,32,42,4.18,39,49,4.7,50,50,"BB(0.99,0.85)_w0.3",1.0,45.0
0,0,0,0,0,1,1,3,11,21,37,0.66,0,1,1.2,1,3,1.42,1,4,1.72,1,12,2.14,5,18,2.4,11,22,2.74,16,31,3.1,23,36,3.68,32,43,4.22,42,48,4.74,50,50,"BB(0.99,0.85)_w0.5",1.1,45.0
0,0,0,0,0,0,1,4,10,23,37,0.66,0,1,1.14,1,4,1.46,1,10,1.74,2,14,2.04,4,17,2.26,8,22,2.72,15,31,3.1,22,35,3.66,32,43,4.28,45,46,4.72,49,50,"BB(0.99,0.85)_w0.7",1.2,45.0
0,0,0,0,0,0,2,5,10,21,36,0.68,0,0,1.14,0,3,1.4,0,4,1.76,1,10,2.08,3,18,2.26,7,21,2.8,16,32,3.18,22,36,3.68,33,43,4.22,42,49,4.7,49,50,"BB(0.95,0.7)_w0.3",1.2,45.0
0,0,0,0,0,0,2,4,10,21,36,0.66,0,0,1.16,0,4,1.46,1,5,1.84,1,12,2.04,4,16,2.24,5,22,2.8,19,30,3.18,23,37,3.66,34,42,4.18,41,48,4.7,49,50,"BB(0.95,0.7)_w0.5",1.1,45.0
0,0,0,0,0,0,0,6,14,21,36,0.66,0,1,1.24,1,4,1.38,1,6,1.8,1,12,2.06,3,18,2.22,7,20,2.68,15,30,3.22,23,37,3.76,34,43,4.2,42,48,4.7,49,50,"BB(0.95,0.7)_w0.7",1.1,45.0
0,0,0,0,0,0,2,2,10,22,34,0.62,0,1,1.22,1,3,1.4,1,3,1.68,1,9,2.04,3,18,2.3,8,24,2.78,18,31,3.16,23,38,3.66,33,42,4.18,39,49,4.62,47,50,"BB(1.0,0.85)_w0.3",1.0,
0,0,0,0,0,0,1,4,9,22,34,0.7,0,1,1.26,1,3,1.42,1,5,1.66,2,10,2.02,3,17,2.28,7,25,2.8,19,30,3.14,24,33,3.62,31,43,4.24,42,48,4.62,47,50,"BB(1.0,0.85)_w0.5",1.1,
0,0,0,0,0,0,0,3,12,20,33,0.6,0,1,1.18,0,6,1.36,0,8,1.72,3,13,1.96,5,19,2.3,9,24,2.72,16,30,3.16,24,35,3.68,29,43,4.14,39,48,4.62,48,50,"BB(1.0,0.85)_w0.7",1.1,
