predictor,top10_5of5,top12_5of5,top15_5of5,top18_5of5,top20_5of5,top25_5of5,top30_5of5,top35_5of5,top40_5of5,top45_5of5,top10_4plus,top12_4plus,top15_4plus,top18_4plus,top20_4plus,top25_4plus,top30_4plus,top35_4plus,top40_4plus,top45_4plus,top10_3plus,top12_3plus,top15_3plus,top18_3plus,top20_3plus,top25_3plus,top30_3plus,top35_3plus,top40_3plus,top45_3plus,time_s
Markov order=1,0,0,0,0,0,1,4,7,16,33,0,0,0,1,2,6,17,24,36,48,3,4,8,14,15,25,34,41,47,50,3.3
PairBoost,0,0,0,0,0,0,7,13,27,39,0,1,2,2,3,8,21,33,40,50,2,6,9,15,17,24,36,43,48,50,3.0
"PairBoost(50, 0.97)",0,0,0,0,0,0,7,12,21,40,0,0,0,1,3,7,20,31,40,47,1,2,6,11,17,30,35,41,47,50,1.7
Cluster(decay=0.95),0,0,0,0,0,3,4,13,22,41,1,1,1,3,5,10,22,34,42,49,3,4,7,15,20,31,34,41,49,50,1.9
Cluster(decay=0.85),0,0,0,0,2,3,6,14,20,37,1,2,2,4,8,13,22,30,41,49,4,6,11,12,17,28,36,42,47,50,2.8
Streak(0.95),0,0,0,0,0,2,6,14,24,37,0,2,3,3,5,13,28,33,41,49,5,7,8,13,18,27,38,42,48,50,1.7
Streak(0.85),0,0,0,0,0,3,5,9,21,35,1,1,1,6,8,16,19,32,41,48,4,5,13,19,22,30,39,45,49,49,1.7
DayOfWeek,0,0,0,0,1,1,2,11,20,37,0,2,5,7,9,13,24,35,42,50,3,7,13,15,22,32,36,45,49,50,2.0
AdaptiveWindow,0,0,0,0,0,0,4,12,23,35,0,0,0,1,1,11,21,32,43,49,5,7,12,16,18,30,38,42,48,50,4.9
RankStability,0,0,0,0,1,4,8,12,22,37,0,0,2,3,6,12,19,28,42,48,3,5,13,16,18,26,33,41,46,50,1.3
Ensemble_All,0,0,0,0,0,0,2,13,23,40,1,1,1,2,4,14,24,30,42,49,2,5,8,14,17,26,35,44,48,50,
SUPER_ENSEMBLE,0,0,0,0,0,2,4,9,24,36,1,1,1,6,6,15,23,33,43,49,4,5,13,19,23,30,34,43,47,50,
