top10_5of5,top12_5of5,top15_5of5,top18_5of5,top20_5of5,top25_5of5,top30_5of5,top35_5of5,top40_5of5,top45_5of5,top10_4plus,top12_4plus,top15_4plus,top18_4plus,top20_4plus,top25_4plus,top30_4plus,top35_4plus,top40_4plus,top45_4plus,top10_3plus,top12_3plus,top15_3plus,top18_3plus,top20_3plus,top25_3plus,top30_3plus,top35_3plus,top40_3plus,top45_3plus,top10_2plus,top12_2plus,top15_2plus,top18_2plus,top20_2plus,top25_2plus,top30_2plus,top35_2plus,top40_2plus,top45_2plus,predictor
0,0,0,0,0,1,2,6,17,33,0,0,0,0,3,10,18,28,41,48,0,3,6,13,16,28,35,42,49,50,10,15,29,37,40,44,48,50,50,50,CDM_α=1.0
0,0,0,0,0,1,2,6,17,33,0,0,0,0,3,10,18,28,41,48,0,3,6,13,16,28,35,42,49,50,10,15,29,37,40,44,48,50,50,50,CDM_α=0.5
0,0,0,0,0,1,2,6,17,33,0,0,0,0,3,10,18,28,41,48,0,3,6,13,16,28,35,42,49,50,10,15,29,37,40,44,48,50,50,50,CDM_α=2.0
0,0,0,0,0,1,2,6,17,33,0,0,0,0,3,10,18,28,41,48,0,3,6,13,16,28,35,42,49,50,10,15,29,37,40,44,48,50,50,50,CDM_α=10.0
0,0,0,0,0,1,6,13,22,36,0,0,2,3,4,11,23,33,41,48,5,7,10,16,19,30,36,42,47,50,13,15,22,32,38,45,47,50,50,50,CDM_decay=0.99
0,0,0,0,0,1,4,12,22,37,0,0,2,4,7,15,25,33,43,49,4,5,13,19,24,27,36,43,48,50,17,22,28,31,34,41,45,49,49,50,CDM_decay=0.95
0,0,0,0,0,3,5,9,21,35,1,1,1,2,7,16,19,32,41,48,3,4,9,18,21,30,39,45,49,49,18,24,30,36,38,40,48,49,49,50,CDM_decay=0.85
0,0,0,0,0,1,5,10,21,37,0,0,1,5,9,15,21,31,41,48,3,5,9,18,23,30,41,45,49,49,19,24,30,36,38,42,47,49,50,50,CDM_decay=0.70
0,0,0,0,0,1,2,6,17,33,0,0,0,0,3,10,18,28,41,48,0,3,6,13,16,28,35,42,49,50,10,15,29,37,40,44,48,50,50,50,CDM_meta
0,0,0,1,1,2,7,12,21,34,0,0,1,1,5,14,28,35,43,50,6,6,7,14,18,36,43,48,50,50,11,14,28,35,39,44,47,50,50,50,CDM_last100
0,0,0,0,0,0,2,6,21,32,0,0,0,1,1,10,19,32,42,48,1,3,7,15,21,32,38,43,48,50,13,16,23,35,39,43,46,47,50,50,CDM_last50
0,0,0,0,1,1,6,14,22,35,0,0,1,1,1,14,25,28,39,46,4,6,11,16,21,32,36,41,49,50,16,21,26,36,38,42,46,48,50,50,CDM_last30
0,0,0,0,0,1,4,12,25,37,1,1,2,4,6,17,20,31,43,49,3,5,8,16,21,26,34,43,47,50,14,21,28,32,37,40,46,49,49,50,MEGA_ENSEMBLE
