,ausencia_actual,racha_max_presente,racha_max_ausente,ciclo_retorno_prom
1,5,3,28,5.981012658227848
2,4,3,65,9.117647058823529
3,1,4,35,7.884297520661157
4,4,4,40,8.981132075471699
5,4,4,35,7.375
6,11,4,40,7.030075187969925
7,9,3,35,7.699186991869919
8,2,3,43,7.417322834645669
9,0,4,35,7.7317073170731705
10,17,3,30,6.577464788732394
11,1,4,36,6.4353741496598635
12,1,5,37,7.323076923076923
13,4,4,37,6.848920863309353
14,1,3,32,8.267857142857142
15,3,3,32,7.496062992125984
16,6,3,51,6.659259259259259
17,1,3,37,7.544
18,0,3,28,7.022222222222222
19,0,3,39,7.95
20,6,2,65,8.0
21,7,3,31,7.531746031746032
22,14,3,45,7.286821705426356
23,16,3,27,7.773109243697479
24,8,5,36,7.229007633587786
25,5,2,63,9.267326732673267
26,10,3,30,7.983050847457627
27,6,3,34,8.025641025641026
28,14,2,34,8.839622641509434
29,0,3,33,7.709677419354839
30,10,3,46,8.191304347826087
31,9,3,33,8.813084112149532
32,3,4,34,8.042735042735043
33,3,2,40,9.770833333333334
34,0,2,57,10.204301075268818
35,8,2,47,10.885057471264368
36,7,2,50,12.226666666666667
37,29,2,77,10.393258426966293
38,15,2,45,12.197368421052632
39,2,2,40,12.2987012987013
40,2,3,76,15.079365079365079
41,19,2,88,20.8
42,10,2,120,18.78
43,6,1,222,54.05882352941177
44,36,1,200,55.38461538461539
45,957,0,957,
46,957,0,957,
47,957,0,957,
48,957,0,957,
